antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'Tracksuit Bottoms'}),frozenset({'Bomber'}),0.1228600201409869,0.14501510574018128,0.023162134944612285,0.1885245901639344,1.3000341530054642,0.005345576132626269,1.0536177484817968,0.26311585883292565
frozenset({'Chambray'}),frozenset({'Relaxed Leg'}),0.13293051359516617,0.13997985901309165,0.02416918429003021,0.18181818181818182,1.2988881621975146,0.005561589738440988,1.0511357278728881,0.26538908246225307
frozenset({'Relaxed Leg'}),frozenset({'Chambray'}),0.13997985901309165,0.13293051359516617,0.02416918429003021,0.1726618705035971,1.2988881621975146,0.005561589738440988,1.0480231183501905,0.2675644028103043
frozenset({'Oxford Cloth'}),frozenset({'Cropped'}),0.13695871097683787,0.12487411883182276,0.022155085599194362,0.16176470588235295,1.2954222011385201,0.005052487249619441,1.0440098231480008,0.2642410098652806
frozenset({'Cropped'}),frozenset({'Oxford Cloth'}),0.12487411883182276,0.13695871097683787,0.022155085599194362,0.1774193548387097,1.29542220113852,0.005052487249619441,1.049187449400707,0.2605921121456219
frozenset({'High-Waisted'}),frozenset({'Dress'}),0.1309164149043303,0.11883182275931521,0.02014098690835851,0.15384615384615385,1.2946544980443286,0.004583950696162157,1.0413805731026275,0.2618771726535341
frozenset({'Dress'}),frozenset({'High-Waisted'}),0.11883182275931521,0.1309164149043303,0.02014098690835851,0.1694915254237288,1.2946544980443284,0.004583950696162157,1.0464475820539696,0.25828571428571423
frozenset({'Mandarin Collar'}),frozenset({'Relaxed Leg'}),0.11681772406847936,0.13997985901309165,0.021148036253776436,0.1810344827586207,1.2932895063259737,0.004795907708440451,1.0501298563629617,0.25677363305641515
frozenset({'Relaxed Leg'}),frozenset({'Mandarin Collar'}),0.13997985901309165,0.11681772406847936,0.021148036253776436,0.1510791366906475,1.2932895063259737,0.004795907708440451,1.0403587826650964,0.263689082190253
frozenset({'Pullover'}),frozenset({'Chambray'}),0.13494461228600202,0.13293051359516617,0.023162134944612285,0.17164179104477612,1.291214382632293,0.005223878326533465,1.046732533137367,0.26071772030166507
frozenset({'Chambray'}),frozenset({'Pullover'}),0.13293051359516617,0.13494461228600202,0.023162134944612285,0.17424242424242423,1.2912143826322928,0.005223878326533465,1.0475900108096121,0.26011210422663217
frozenset({'Joggers'}),frozenset({'Dress'}),0.1510574018126888,0.11883182275931521,0.023162134944612285,0.15333333333333335,1.2903389830508476,0.005211708545924187,1.040749815638604,0.2650471917066377
frozenset({'Dress'}),frozenset({'Joggers'}),0.11883182275931521,0.1510574018126888,0.023162134944612285,0.19491525423728812,1.2903389830508474,0.005211708545924187,1.054476069327397,0.2553540372670807
frozenset({'Linen'}),frozenset({'Peacoat'}),0.12185297079556898,0.12185297079556898,0.019133937562940583,0.15702479338842976,1.288641486237279,0.0042857910712347964,1.0417234366052563,0.25507001448575567
frozenset({'Peacoat'}),frozenset({'Linen'}),0.12185297079556898,0.12185297079556898,0.019133937562940583,0.15702479338842976,1.288641486237279,0.0042857910712347964,1.0417234366052563,0.25507001448575567
frozenset({'Trench Coat'}),frozenset({'Cuban Collar'}),0.1339375629405841,0.11681772406847936,0.02014098690835851,0.15037593984962405,1.2872698988851439,0.004494705638360769,1.0394977229990465,0.25767441860465107
frozenset({'Windbreaker'}),frozenset({'Cuban Collar'}),0.1339375629405841,0.11681772406847936,0.02014098690835851,0.15037593984962405,1.2872698988851439,0.004494705638360769,1.0394977229990465,0.25767441860465107
frozenset({'Cuban Collar'}),frozenset({'Trench Coat'}),0.11681772406847936,0.1339375629405841,0.02014098690835851,0.17241379310344826,1.2872698988851436,0.004494705638360769,1.0464921114467942,0.252679589509692
frozenset({'Cuban Collar'}),frozenset({'Windbreaker'}),0.11681772406847936,0.1339375629405841,0.02014098690835851,0.17241379310344826,1.2872698988851436,0.004494705638360769,1.0464921114467942,0.252679589509692
frozenset({'Cropped'}),frozenset({'Denim'}),0.12487411883182276,0.23867069486404835,0.038267875125881166,0.3064516129032258,1.2839934667211106,0.008464082413754282,1.0977306260099766,0.2527405971776391
frozenset({'Denim'}),frozenset({'Cropped'}),0.23867069486404835,0.12487411883182276,0.038267875125881166,0.16033755274261602,1.2839934667211106,0.008464082413754282,1.0422353459138594,0.290517961570593
frozenset({'Puffer'}),frozenset({'Cords'}),0.1309164149043303,0.11983887210473314,0.02014098690835851,0.15384615384615385,1.283775048480931,0.004452111406228289,1.0401904238762245,0.254345307068366
frozenset({'Cords'}),frozenset({'Puffer'}),0.11983887210473314,0.1309164149043303,0.02014098690835851,0.1680672268907563,1.2837750484809307,0.004452111406228289,1.0446560265291382,0.2511441647597253
frozenset({'Drawstring'}),frozenset({'Wool'}),0.13897280966767372,0.11883182275931521,0.021148036253776436,0.15217391304347827,1.2805821665438468,0.0046336439669833855,1.0393265680274744,0.25446950710108607
frozenset({'Wool'}),frozenset({'Drawstring'}),0.11883182275931521,0.13897280966767372,0.021148036253776436,0.17796610169491525,1.2805821665438466,0.0046336439669833855,1.0474351387547887,0.2486530612244898
frozenset({'Slim-Fit'}),frozenset({'Chinos'}),0.14602215508559918,0.12386706948640483,0.023162134944612285,0.15862068965517243,1.2805719091673677,0.005074798514069789,1.0413055321677975,0.2565627563576703
frozenset({'Chinos'}),frozenset({'Slim-Fit'}),0.12386706948640483,0.14602215508559918,0.023162134944612285,0.18699186991869918,1.2805719091673675,0.005074798514069789,1.0503927492447132,0.2500749625187407
frozenset({'Linen'}),frozenset({'Pleated'}),0.12185297079556898,0.13595166163141995,0.021148036253776436,0.17355371900826447,1.2765840220385676,0.004581922399393947,1.0454984894259818,0.24672346002621243
frozenset({'Pleated'}),frozenset({'Linen'}),0.13595166163141995,0.12185297079556898,0.021148036253776436,0.15555555555555556,1.2765840220385676,0.004581922399393947,1.0399109556368262,0.25074925074925086
frozenset({'Chambray'}),frozenset({'Dress'}),0.13293051359516617,0.11883182275931521,0.02014098690835851,0.15151515151515152,1.2750385208012327,0.0043446116775129814,1.0385196374622356,0.2487804878048779
frozenset({'Dress'}),frozenset({'Chambray'}),0.11883182275931521,0.13293051359516617,0.02014098690835851,0.1694915254237288,1.2750385208012325,0.0043446116775129814,1.0440224428139835,0.2447999999999999
frozenset({'Cargo Pants'}),frozenset({'Pullover'}),0.12890231621349446,0.13494461228600202,0.022155085599194362,0.171875,1.273670708955224,0.004760412514996721,1.044595185164073,0.24666316342616926
frozenset({'Pullover'}),frozenset({'Cargo Pants'}),0.13494461228600202,0.12890231621349446,0.022155085599194362,0.16417910447761194,1.273670708955224,0.004760412514996721,1.0422061573874264,0.24838607260027523
frozenset({'Leather'}),frozenset({'Cardigan'}),0.12185297079556898,0.1299093655589124,0.02014098690835851,0.1652892561983471,1.2723428791082068,0.0043111447808374635,1.0423858095779366,0.24375000000000002
frozenset({'Cardigan'}),frozenset({'Leather'}),0.1299093655589124,0.12185297079556898,0.02014098690835851,0.15503875968992248,1.2723428791082068,0.0043111447808374635,1.039274924471299,0.24600694444444443
frozenset({'Camp Collared'}),frozenset({'Leather'}),0.13695871097683787,0.12185297079556898,0.021148036253776436,0.15441176470588236,1.267197374817696,0.004459210444917039,1.0385043127982836,0.24431849752736573
